submission,state
3/11/2021,KS
12/1/2021,ND
1/2/2022,AS
11/22/2021,AL
5/30/2022,AK
5/17/2020,RMI
4/3/2020,ND
9/4/2021,PR
5/9/2021,PW
8/15/2022,NM
1/1/2022,UT
5/1/2021,SD
4/3/2021,OH
10/16/2022,NYC
3/17/2022,GU
7/8/2020,OK
7/31/2020,ND
8/11/2020,GU
2/25/2022,SD
7/26/2021,OK
5/20/2022,NY
4/3/2022,OK
9/23/2021,NYC
3/6/2020,MP
7/26/2022,AS
9/5/2021,AL
7/20/2020,GA
4/9/2022,SD
6/6/2022,NYC
3/19/2022,PA
submission_dA1:A31ate,AS
3/11/2021,GA
12/1/2021,GU
1/2/2022,TX
11/22/2021,AS
5/30/2022,NY
5/17/2020,TX
4/3/2020,PA
9/4/2021,MS
5/9/2021,NYC
8/15/2022,NYC
1/1/2022,WA
5/1/2021,HI
4/3/2021,ND
10/16/2022,SD
3/17/2022,WA
7/8/2020,TN
7/31/2020,UT
8/11/2020,ND
2/25/2022,KS
7/26/2021,TX
5/20/2022,SD
4/3/2022,NM
9/23/2021,NYC
3/6/2020,GA
7/26/2022,SD
9/5/2021,RMI
7/20/2020,HI
4/9/2022,WA
6/6/2022,UT
3/19/2022,OK
submission_dA1:A31ate,MP
3/11/2021,KS
12/1/2021,NY
1/2/2022,KS
11/22/2021,GA
5/30/2022,AS
5/17/2020,TX
4/3/2020,PW
9/4/2021,OH
5/9/2021,UT
8/15/2022,AL
1/1/2022,SD
5/1/2021,IN
4/3/2021,NM
10/16/2022,GA
3/17/2022,OK
7/8/2020,SD
7/31/2020,FL
8/11/2020,AL
2/25/2022,PR
7/26/2021,OH
5/20/2022,IN
4/3/2022,ND
9/23/2021,NYC
3/6/2020,AK
7/26/2022,SD
9/5/2021,KS
7/20/2020,MS
4/9/2022,PR
6/6/2022,UT
3/19/2022,PR
submission_dA1:A31ate,NY
3/11/2021,FL
12/1/2021,WA
1/2/2022,PW
11/22/2021,HI
5/30/2022,WV
5/17/2020,UT
4/3/2020,TX
9/4/2021,IN
5/9/2021,GA
8/15/2022,FL
1/1/2022,SD
5/1/2021,TX
4/3/2021,NYC
10/16/2022,IN
3/17/2022,ND
7/8/2020,UT
7/31/2020,OK
8/11/2020,NY
2/25/2022,GA
7/26/2021,FL
5/20/2022,AL
4/3/2022,AS
9/23/2021,WV
3/6/2020,WV
7/26/2022,ND
9/5/2021,OK
7/20/2020,NYC
4/9/2022,IA
6/6/2022,IA
3/19/2022,SD
submission_dA1:A31ate,TN
3/11/2021,MA
12/1/2021,WA
1/2/2022,GU
11/22/2021,WA
5/30/2022,OH
5/17/2020,OH
4/3/2020,AK
9/4/2021,NY
5/9/2021,MP
8/15/2022,FL
1/1/2022,PW
5/1/2021,OH
4/3/2021,HI
10/16/2022,MS
3/17/2022,CO
7/8/2020,GU
7/31/2020,PA
8/11/2020,MA
2/25/2022,GA
7/26/2021,PA
5/20/2022,WA
4/3/2022,TX
9/23/2021,PA
3/6/2020,NM
7/26/2022,IA
9/5/2021,MA
7/20/2020,MP
4/9/2022,UT
6/6/2022,ND
3/19/2022,AK
submission_dA1:A31ate,CO
3/11/2021,RMI
12/1/2021,NYC
1/2/2022,TX
11/22/2021,TN
5/30/2022,CO
5/17/2020,MP
4/3/2020,PA
9/4/2021,MA
5/9/2021,MP
8/15/2022,HI
1/1/2022,TN
5/1/2021,KS
4/3/2021,KS
10/16/2022,WA
3/17/2022,NM
7/8/2020,AL
7/31/2020,CO
8/11/2020,RMI
2/25/2022,OH
7/26/2021,TX
5/20/2022,KS
4/3/2022,NM
9/23/2021,WA
3/6/2020,KS
7/26/2022,IN
9/5/2021,IN
7/20/2020,IA
4/9/2022,TX
6/6/2022,MA
3/19/2022,GA
submission_dA1:A31ate,MP
3/11/2021,MP
12/1/2021,MS
1/2/2022,UT
11/22/2021,AS
5/30/2022,IA
5/17/2020,FL
4/3/2020,GU
9/4/2021,CO
5/9/2021,WA
8/15/2022,NY
1/1/2022,GU
5/1/2021,MA
4/3/2021,NM
10/16/2022,NY
3/17/2022,GA
7/8/2020,CO
7/31/2020,WV
8/11/2020,PR
2/25/2022,ND
7/26/2021,GA
5/20/2022,KS
4/3/2022,ND
9/23/2021,AL
3/6/2020,AS
7/26/2022,HI
9/5/2021,WA
7/20/2020,ND
4/9/2022,CO
6/6/2022,CO
3/19/2022,SD
submission_dA1:A31ate,UT
3/11/2021,SD
12/1/2021,IA
1/2/2022,IN
11/22/2021,IN
5/30/2022,AR
5/17/2020,PA
4/3/2020,TX
9/4/2021,TN
5/9/2021,GU
8/15/2022,WA
1/1/2022,IA
5/1/2021,NYC
4/3/2021,ND
10/16/2022,FL
3/17/2022,TX
7/8/2020,GA
7/31/2020,NM
8/11/2020,PR
2/25/2022,WV
7/26/2021,MA
5/20/2022,KS
4/3/2022,TN
9/23/2021,GU
3/6/2020,CO
7/26/2022,PW
9/5/2021,RMI
7/20/2020,OH
4/9/2022,UT
6/6/2022,GA
3/19/2022,WV
submission_dA1:A31ate,IA
3/11/2021,PA
12/1/2021,ND
1/2/2022,KS
11/22/2021,RMI
5/30/2022,PW
5/17/2020,NY
4/3/2020,MS
9/4/2021,NM
5/9/2021,MS
8/15/2022,MP
1/1/2022,IN
5/1/2021,KS
4/3/2021,AK
10/16/2022,AS
3/17/2022,OH
7/8/2020,PR
7/31/2020,PW
8/11/2020,UT
2/25/2022,ND
7/26/2021,KS
5/20/2022,AR
4/3/2022,WV
9/23/2021,AS
3/6/2020,IA
7/26/2022,FL
9/5/2021,UT
7/20/2020,NYC
4/9/2022,ND
6/6/2022,MP
3/19/2022,IN
submission_dA1:A31ate,OH
3/11/2021,NYC
12/1/2021,TN
1/2/2022,IA
11/22/2021,OH
5/30/2022,AL
5/17/2020,SD
4/3/2020,RMI
9/4/2021,TN
5/9/2021,UT
8/15/2022,RMI
1/1/2022,AR
5/1/2021,SD
4/3/2021,UT
10/16/2022,NYC
3/17/2022,MS
7/8/2020,RMI
7/31/2020,IA
8/11/2020,ND
2/25/2022,NY
7/26/2021,IN
5/20/2022,GU
4/3/2022,TX
9/23/2021,MP
3/6/2020,NYC
7/26/2022,IN
9/5/2021,AS
7/20/2020,MA
4/9/2022,MS
6/6/2022,TX
3/19/2022,KS
submission_dA1:A31ate,WA
3/11/2021,MA
12/1/2021,PR
1/2/2022,PR
11/22/2021,IN
5/30/2022,SD
5/17/2020,AR
4/3/2020,FL
9/4/2021,PA
5/9/2021,KS
8/15/2022,PW
1/1/2022,MS
5/1/2021,PA
4/3/2021,MS
10/16/2022,WA
3/17/2022,NY
7/8/2020,UT
7/31/2020,OK
8/11/2020,PA
2/25/2022,MA
7/26/2021,CO
5/20/2022,RMI
4/3/2022,SD
9/23/2021,MS
3/6/2020,NM
7/26/2022,FL
9/5/2021,AL
7/20/2020,AR
4/9/2022,KS
6/6/2022,AS
3/19/2022,AS
submission_dA1:A31ate,OH
3/11/2021,TN
12/1/2021,AS
1/2/2022,ND
11/22/2021,RMI
5/30/2022,AS
5/17/2020,NY
4/3/2020,IA
9/4/2021,AR
5/9/2021,FL
8/15/2022,GU
1/1/2022,TN
5/1/2021,AR
4/3/2021,AK
10/16/2022,TX
3/17/2022,AK
